,country,year,sex,age,suicides_no,population,percentage
2592,Australia,2015,female,15-24 years,110.0,1526305.0,0.007206947497387481
2593,Australia,2015,female,25-34 years,119.0,1747715.0,0.006808890465550733
2594,Australia,2015,female,35-54 years,294.0,3203643.0,0.009177052499295334
2595,Australia,2015,female,5-14 years,8.0,1428159.0,0.0005601617186881853
2596,Australia,2015,female,55-74 years,152.0,2411343.0,0.006303541221634582
2597,Australia,2015,female,75+ years,52.0,884347.0,0.005880044824034005
2598,Australia,2015,male,15-24 years,281.0,1608990.0,0.017464372059490734
2599,Australia,2015,male,25-34 years,423.0,1762265.0,0.02400320042672356
2600,Australia,2015,male,35-54 years,944.0,3149299.0,0.02997492457845381
2601,Australia,2015,male,5-14 years,6.0,1507502.0,0.0003980094222097218
2602,Australia,2015,male,55-74 years,457.0,2337430.0,0.019551387635137737
2603,Australia,2015,male,75+ years,181.0,673787.0,0.026863088780282193
6636,Brazil,2015,female,15-24 years,397.0,17047218.0,0.0023288257356713572
6637,Brazil,2015,female,25-34 years,466.0,17546090.0,0.0026558623602181454
6638,Brazil,2015,female,35-54 years,910.0,28461855.0,0.0031972617385620157
6639,Brazil,2015,female,5-14 years,56.0,15430579.0,0.00036291574023243064
6640,Brazil,2015,female,55-74 years,479.0,15122216.0,0.0031675251828171217
6641,Brazil,2015,female,75+ years,89.0,3802086.0,0.0023408202760274227
6642,Brazil,2015,male,15-24 years,1389.0,17569045.0,0.007905950494178825
6643,Brazil,2015,male,25-34 years,1897.0,17625976.0,0.010762524583035855
6644,Brazil,2015,male,35-54 years,3238.0,26989063.0,0.011997452449534835
6645,Brazil,2015,male,5-14 years,79.0,16057040.0,0.000491996034138297
6646,Brazil,2015,male,55-74 years,1693.0,12987357.0,0.013035754695893862
6647,Brazil,2015,male,75+ years,470.0,2448560.0,0.019194955402358937
21180,Japan,2015,female,15-24 years,408.0,5772938.0,0.007067458545371524
21181,Japan,2015,female,25-34 years,685.0,6614211.0,0.010356488476100928
21182,Japan,2015,female,35-54 years,2024.0,16991218.0,0.011912035970581979
21183,Japan,2015,female,5-14 years,28.0,5287719.0,0.0005295288951625456
21184,Japan,2015,female,55-74 years,2292.0,17232482.0,0.013300463624450615
21185,Japan,2015,female,75+ years,1509.0,9983066.0,0.015115596751539057
21186,Japan,2015,male,15-24 years,1091.0,6088330.0,0.017919528015071455
21187,Japan,2015,male,25-34 years,1948.0,6862886.0,0.02838456008157501
21188,Japan,2015,male,35-54 years,5507.0,17461022.0,0.031538818289101295
21189,Japan,2015,male,5-14 years,62.0,5553851.0,0.0011163425162108236
21190,Japan,2015,male,55-74 years,5241.0,16239222.0,0.03227371360524537
21191,Japan,2015,male,75+ years,2297.0,6289365.0,0.03652197002400084
36588,South Africa,2015,female,15-24 years,34.0,5105930.0,0.0006658924035386305
36589,South Africa,2015,female,25-34 years,27.0,4822164.0,0.0005599145943605402
36590,South Africa,2015,female,35-54 years,26.0,6396045.0,0.000406501205041553
36591,South Africa,2015,female,5-14 years,6.0,5243427.0,0.00011442897936788289
36592,South Africa,2015,female,55-74 years,10.0,3155486.0,0.0003169083938258639
36593,South Africa,2015,female,75+ years,2.0,615701.0,0.0003248329952363241
36594,South Africa,2015,male,15-24 years,90.0,5190482.0,0.001733943013384884
36595,South Africa,2015,male,25-34 years,126.0,5001052.0,0.0025194699035322966
36596,South Africa,2015,male,35-54 years,101.0,6066751.0,0.0016648120221185935
36597,South Africa,2015,male,5-14 years,11.0,5318168.0,0.00020683814426321245
36598,South Africa,2015,male,55-74 years,41.0,2426511.0,0.0016896688290306534
36599,South Africa,2015,male,75+ years,8.0,285743.0,0.002799718628277858
37032,Spain,2015,female,15-24 years,47.0,2177807.0,0.0021581343066672115
37033,Spain,2015,female,25-34 years,66.0,2884411.0,0.0022881621239136864
37034,Spain,2015,female,35-54 years,360.0,7389698.0,0.004871646987468229
37035,Spain,2015,female,5-14 years,1.0,2329505.0,4.2927574742273574e-05
37036,Spain,2015,female,55-74 years,281.0,5125562.0,0.0054823256454609275
37037,Spain,2015,female,75+ years,168.0,2624796.0,0.006400497410084441
37038,Spain,2015,male,15-24 years,109.0,2287320.0,0.004765402304880821
37039,Spain,2015,male,25-34 years,241.0,2897590.0,0.008317256754751362
37040,Spain,2015,male,35-54 years,1015.0,7551081.0,0.013441784030657333
37041,Spain,2015,male,5-14 years,7.0,2475209.0,0.000282804401567706
37042,Spain,2015,male,55-74 years,736.0,4750328.0,0.015493666963628618
37043,Spain,2015,male,75+ years,573.0,1693221.0,0.03384082762970693
41892,United Kingdom,2015,female,15-24 years,104.0,3966564.0,0.0026219166008666444
41893,United Kingdom,2015,female,25-34 years,181.0,4414464.0,0.004100158025980051
41894,United Kingdom,2015,female,35-54 years,473.0,8881944.0,0.00532541074341383
41895,United Kingdom,2015,female,5-14 years,6.0,3663221.0,0.0001637902818312081
41896,United Kingdom,2015,female,55-74 years,306.0,7075576.0,0.004324736247621395
41897,United Kingdom,2015,female,75+ years,108.0,3070457.0,0.0035173917107453384
41898,United Kingdom,2015,male,15-24 years,374.0,4151992.0,0.009007724485018275
41899,United Kingdom,2015,male,25-34 years,596.0,4408293.0,0.013519972470069481
41900,United Kingdom,2015,male,35-54 years,1579.0,8692440.0,0.018165210228658468
41901,United Kingdom,2015,male,5-14 years,4.0,3840476.0,0.00010415375594066985
41902,United Kingdom,2015,male,55-74 years,906.0,6716557.0,0.013489053990013038
41903,United Kingdom,2015,male,75+ years,273.0,2200958.0,0.012403689666045423
42348,United States of America,2015,female,15-24 years,1132.0,21633813.0,0.005232549620355876
42349,United States of America,2015,female,25-34 years,1444.0,21555712.0,0.006698920453195887
42350,United States of America,2015,female,35-54 years,4053.0,41531809.0,0.009758785127804087
42351,United States of America,2015,female,5-14 years,158.0,20342901.0,0.0007766837188068704
42352,United States of America,2015,female,55-74 years,2872.0,35115610.0,0.00817869887494479
42353,United States of America,2015,female,75+ years,540.0,11778666.0,0.004584559915358836
42354,United States of America,2015,male,15-24 years,4359.0,22615073.0,0.019274755381068195
42355,United States of America,2015,male,25-34 years,5503.0,22137097.0,0.024858724700894612
42356,United States of America,2015,male,35-54 years,11634.0,41658010.0,0.027927402197080467
42357,United States of America,2015,male,5-14 years,255.0,21273987.0,0.001198646967303308
42358,United States of America,2015,male,55-74 years,9068.0,32264697.0,0.02810502141086278
42359,United States of America,2015,male,75+ years,3171.0,8171136.0,0.0388073335213121
